x_m,y_m
-59.325,41.753
-47.546,41.753
-35.767,41.753
-23.988,41.753
-12.209,41.753
-0.43,41.753
11.349,41.753
23.128,41.753
34.938,41.753
46.717,41.753
58.496,41.753
-76.438,52.832
-67.993,58.483
-58.563,62.419
-48.594,64.356
-37.355,64.388
-25.036,64.388
-12.749,64.388
11.857,64.388
24.175,64.388
36.462,64.388
47.701,64.324
57.702,62.388
67.037,58.419
75.545,52.832
-71.961,55.594
-62.786,60.61
-53.547,63.277
-43.101,64.388
-31.164,64.388
-18.781,64.388
-9.13,63.626
8.237,63.626
18.016,64.388
30.335,64.388
42.526,64.324
52.591,63.34
62.147,60.419
71.418,55.404
12.079,103.149
34.875,108.768
2.118,47.943
14.903,59.33
23.179,47.943
26.735,58.674
35.053,47.943
12.744,72.028
48.282,60.79
-32.624,66.864
-14.749,59.086
-6.526,65.403
17.857,65.403
-0.43,74.546
26.271,77.149
44.78,62.991
-29.576,107.562
-14.781,107.562
0.014,107.562
26.461,112.514
42.621,102.102
-82.375,54.007
-72.533,67.054
-54.309,66.991
-37.355,72.578
-12.495,72.578
24.112,72.578
53.099,64.356
71.227,66.229
80.466,53.499
11.857,78.038
-30.973,81.626
-18.845,81.626
-6.685,81.626
-30.973,93.403
-18.845,93.403
-6.685,93.403
29.858,78.038
21.032,98.229
5.697,65.213
-0.43,71.308
2.776,97.022
21.096,97.022
83.006,-51.929
28.525,-74.342
-0.43,-74.342
-27.576,-74.342
-83.867,-51.929
-83.169,51.658
-81.105,60.292
-71.485,66.292
-58.817,70.705
-49.356,72.927
-37.355,73.118
-25.068,71.626
-14.178,71.689
12.492,71.34
24.175,71.657
36.43,73.086
48.559,72.896
60.211,70.642
71.291,66.102
79.863,60.324
80.466,51.658
-0.43,74.038
11.603,81.88
-13.797,84.768
-1.002,84.768
-13.797,94.895
-1.002,94.895
88.15,-54.024
82.625,-61.675
72.751,-68.278
61.068,-72.786
38.24,-57.308
11.857,-74.945
-12.749,-74.945
-39.037,-74.945
-62.69,-72.659
-73.549,-68.247
-83.518,-61.643
-89.042,-54.024
-77.422,63.721
-66.913,69.34
-42.435,73.435
-54.277,72.515
-31.164,73.435
-19.004,74.038
18.016,73.911
30.303,73.911
42.526,73.911
54.464,72.737
65.957,69.213
76.403,63.594
84.626,56.642
82.816,-52.024
61.48,-74.088
54.305,-50.469
30.303,-66.088
24.969,-38.945
-0.43,-76.627
-0.43,-52.024
-31.195,-66.977
-25.83,-38.945
-62.373,-74.088
-55.198,-50.469
-81.549,-50.501
-105.838,-30.786
-81.994,-23.58
-46.054,-18.025
-97.71,0.42
-29.957,0.42
-105.774,31.594
-82.057,24.388
-46.054,18.871
104.596,31.499
81.197,24.42
45.161,18.864
96.817,0.42
29.065,0.42
104.786,-30.755
81.609,-23.707
45.161,-18.025
-80.978,49.404
-62.373,74.705
-55.452,52.165
-31.545,65.499
-25.83,33.753
-0.43,77.403
-0.43,52.896
30.43,64.165
24.969,33.751
61.48,74.705
54.591,52.165
80.117,49.404
82.816,-52.024
61.48,-74.088
54.305,-50.469
36.97,-64.374
21.699,-39.231
-37.863,-64.374
-22.591,-39.231
-62.373,-74.088
-55.198,-50.469
-83.677,-52.024
-105.647,-30.755
-82.47,-23.707
-46.054,-18.025
-97.71,0.42
-18.083,0.42
-105.457,31.499
-86.598,25.785
-46.054,18.864
104.596,31.499
81.228,24.42
45.161,18.864
96.817,0.42
17.222,0.42
104.786,-30.755
81.609,-23.707
45.161,-18.025
-80.978,49.404
-62.373,74.705
-55.452,52.169
-37.355,65.499
-22.591,39.943
36.462,65.499
21.699,39.943
61.48,74.705
54.591,52.165
80.117,49.404
67.881,-57.409
62.103,-78.234
43.075,-63.927
23.708,-80.541
0.446,-63.927
-22.838,-80.541
-42.203,-63.927
-61.234,-78.234
-67.01,-57.409
-94.505,-57.049
-87.966,-34.425
-111.247,-19.822
-93.933,0.727
-111.48,20.833
-89.0,31.922
-94.634,57.679
-61.234,79.541
-31.303,84.155
12.744,97.001
62.018,79.795
70.781,55.584
95.502,57.679
89.873,31.922
112.35,20.833
94.803,0.727
112.117,-19.822
88.836,-34.425
95.375,-57.049
58.496,-40.945
46.717,-40.945
34.938,-40.945
23.128,-40.945
11.349,-40.945
-0.43,-40.945
-12.209,-40.945
-23.988,-40.945
-35.767,-40.945
-47.546,-40.945
-59.389,-40.945
77.546,-51.072
67.322,-58.088
57.798,-61.961
47.765,-63.961
36.462,-63.961
24.175,-63.961
11.857,-63.961
-0.43,-63.961
-12.717,-63.961
-25.036,-63.961
-37.45,-63.961
-48.626,-63.961
-58.658,-61.961
-68.183,-58.024
-76.692,-52.342
74.117,-59.231
64.37,-64.405
53.702,-67.675
42.304,-68.754
30.303,-68.754
18.016,-68.754
5.729,-68.754
-6.59,-68.754
-18.877,-68.754
-31.195,-68.754
-43.482,-68.754
-54.594,-67.675
-64.976,-63.707
-74.66,-58.532
73.291,-49.262
65.417,-54.532
56.655,-58.183
47.352,-60.024
36.462,-60.024
24.175,-60.024
11.857,-60.024
-0.43,-60.024
-12.749,-60.024
-25.036,-60.024
-37.355,-60.024
-48.245,-60.024
-57.579,-58.247
-66.342,-54.628
-74.215,-49.358
81.165,-58.85
71.259,-65.453
60.242,-69.993
48.559,-72.342
36.462,-72.342
24.143,-72.342
11.857,-72.342
-0.462,-72.342
-12.749,-72.342
-25.068,-72.342
-37.355,-72.342
-49.451,-72.342
-61.135,-69.993
-72.12,-65.453
-82.026,-58.85
87.293,-66.278
75.799,-73.961
63.068,-79.231
49.511,-81.929
36.462,-81.929
24.175,-81.929
11.888,-81.929
-0.43,-81.929
-12.717,-81.929
-25.036,-81.929
-37.323,-81.929
-50.372,-81.929
-63.929,-79.231
-76.692,-73.961
-88.153,-66.278
78.593,-124.31
-96.503,-86.024
58.56,-87.104
-59.293,-86.945
80.339,-57.866
70.719,-64.342
59.893,-68.818
48.463,-71.104
36.462,-71.104
24.175,-69.008
11.857,-69.008
-0.43,-69.008
-12.749,-69.008
-25.036,-69.008
-37.355,-71.104
-49.324,-71.072
-60.722,-68.786
-71.548,-64.342
80.955,-58.382
71.134,-64.922
60.255,-69.451
48.804,-71.737
36.633,-71.737
24.336,-71.737
12.038,-71.737
-0.259,-71.737
-12.578,-71.737
-24.875,-71.737
-37.173,-71.737
-49.218,-71.737
-60.796,-69.451
-71.674,-64.922
-81.264,-57.834
-81.495,-58.382
58.528,32.578
58.528,23.372
58.528,14.197
59.925,5.023
59.925,-4.183
58.528,-13.358
58.528,-22.564
58.528,-31.739
83.07,45.912
88.753,37.372
92.69,27.88
94.69,17.816
94.69,6.578
94.69,-5.739
94.69,-17.009
92.753,-27.104
88.753,-36.564
81.99,-46.691
91.864,45.404
97.294,35.499
100.849,24.324
102.119,12.547
102.183,0.451
102.183,-11.866
100.976,-23.39
97.421,-34.596
91.833,-44.818
80.085,41.435
85.356,33.562
88.912,24.737
90.753,15.436
90.753,6.578
90.753,-5.739
90.753,-16.628
88.912,-25.929
85.356,-34.723
80.085,-42.628
89.578,49.245
96.182,39.34
100.754,28.356
103.072,16.674
103.072,6.578
103.072,-5.739
103.072,-17.834
100.754,-29.517
96.182,-40.501
89.578,-50.437
97.008,57.404
104.691,45.912
109.993,33.118
112.66,19.594
112.66,6.547
112.66,-6.247
112.66,-18.818
109.993,-32.31
104.691,-45.072
97.008,-56.564
147.203,27.753
116.534,0.42
147.044,-28.025
117.79,10.632
117.324,-9.643
116.915,10.642
116.47,-9.644
116.915,10.642
116.47,-9.644
115.105,0.42
116.576,0.409
95.135,40.8
99.516,29.975
101.802,18.547
101.802,6.547
101.77,-5.739
101.802,-17.675
99.548,-29.167
95.039,-39.897
88.69,-49.548
89.295,50.885
95.833,41.065
100.363,30.187
102.649,18.61
102.628,6.568
102.649,-5.728
102.649,-17.771
100.363,-29.346
95.833,-40.245
89.295,-50.044
-74.215,50.165
-66.342,55.467
-57.579,58.991
-48.245,60.832
-37.355,60.832
-25.036,60.832
-12.749,60.832
-0.43,60.832
11.857,60.832
24.175,60.832
36.462,60.832
47.352,60.832
56.655,59.023
65.417,55.308
73.291,50.102
-82.026,57.658
-72.12,64.292
-61.135,68.832
-49.451,71.149
-37.355,71.149
-25.068,71.149
-12.749,71.149
-0.462,71.149
11.857,71.149
24.143,71.149
36.462,71.149
48.559,71.149
60.242,68.832
71.259,64.292
81.165,57.658
-88.153,67.118
-76.692,74.769
-63.929,80.07
-50.372,82.768
-37.355,82.768
-25.068,82.768
-12.749,82.768
-0.462,82.768
11.857,82.768
24.143,82.768
36.462,82.768
49.511,82.768
63.036,80.038
75.799,74.769
87.293,67.118
-59.452,89.499
56.274,88.514
-81.495,59.224
-71.674,65.763
-60.796,70.292
-49.218,72.578
-37.173,72.578
-24.875,72.578
-12.578,72.578
-0.259,72.578
12.038,72.578
24.336,72.578
36.633,72.578
48.677,72.578
60.255,70.292
71.134,65.763
80.955,59.224
-59.325,-31.739
-59.325,-22.564
-59.325,-13.358
-60.786,-4.183
-60.786,5.023
-59.325,14.197
-59.325,23.372
-59.325,32.578
-83.931,-45.072
-89.646,-36.532
-93.582,-27.072
-95.551,-17.04
-95.583,-5.739
-95.583,6.578
-95.551,17.848
-93.582,27.88
-89.646,37.372
-83.931,45.912
-92.693,-44.786
-98.345,-34.532
-101.742,-23.453
-103.012,-11.675
-102.98,0.388
-102.885,12.61
-101.647,24.324
-98.377,35.594
-92.757,45.435
-80.946,-42.628
-86.248,-34.723
-89.773,-25.929
-91.646,-16.628
-91.646,-5.739
-91.646,6.578
-91.646,17.436
-89.773,26.737
-86.248,35.562
-80.946,43.435
-90.439,-50.437
-97.075,-40.501
-101.615,-29.517
-103.964,-17.834
-103.964,-5.739
-103.964,6.578
-103.964,16.674
-101.615,28.356
-97.075,39.34
-90.439,49.245
-97.9,-56.564
-105.584,-45.072
-110.79,-32.342
-113.553,-18.786
-113.489,-5.739
-113.553,6.547
-113.553,19.594
-110.854,33.118
-105.584,45.88
-97.9,57.404
-129.395,-30.405
-118.633,0.166
-129.395,31.245
-116.456,-9.643
-116.92,10.632
-117.331,-9.644
-117.807,10.642
-117.331,-9.644
-117.807,10.642
-116.664,0.388
-117.331,0.409
-89.55,-49.548
-95.932,-39.897
-100.44,-29.167
-102.663,-17.675
-102.631,-5.739
-102.663,6.547
-102.663,18.547
-100.408,29.975
-96.027,40.8
-89.836,-50.044
-96.373,-40.245
-100.906,-29.346
-103.19,-17.771
-103.19,-5.728
-103.19,6.568
-103.19,18.61
-100.906,30.187
-96.373,41.065
-89.836,50.885
34.875,108.768
115.137,7.436
115.137,-10.056
-117.394,-9.961
-117.394,10.737
-85.391,55.816
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
